字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
阿,,阿㈠,,ā,阝左,7,左右,一级字,名词词头。多用于亲属称谓或人名前面。《木兰诗》：“～姊闻妹来。”《三国志·魏书·武帝纪》裴注引《曹瞒传》：“太祖一名吉利，小字～瞒。”//也用于代词前。古诗《十五从军征》：“道逢乡里人，家中有～谁？”
埃,,埃,,āi,土,10,左右,一级字,尘土。《荀子·劝学》：“上食～土，下饮黄泉。”李白《对酒》诗：“自古帝王宅，城阙闭黄～。”
爱,,爱,[愛],ài,爫,10,上下,一级字,❶爱。《诗经·郑风·将仲子》：“岂敢～之，畏我父母。”《史记·陈涉世家》：“吴广素～人。”//❷怜惜，同情。《左传·僖公二十二年》：“～其二毛。”（二毛：鬓发花白，指老人。）//❸吝惜，舍不得。《老子·四十四章》：“甚～必大费。”（费：浪费。）
欸,,欸㈠,,āi,欠,11,左右,二级字,❶应声。扬雄《方言》卷十：“欸、𧫦（yī），然也。”//❷叹息。屈原《九章·涉江》：“乘鄂渚而反顾兮，～秋冬之绪风。”
欸,,欸㈡,,ǎi,欠,11,左右,二级字,[欸乃]//摇橹声。柳宗元《渔翁》诗：“烟销日出不见人，～～一声山水绿。”
皑,,皑,[皚],ái,白,11,左右,二级字,洁白。汉乐府《白头吟》：“～如山上雪，皎若云间月。”//[皑皑]//形容霜雪洁白的样子。刘歆《遂初赋》：“漂积雪之～～兮。”
硙,,硙㈠,[磑],ái,石,11,左右,三级字,[硙硙]//高峻的样子。宋玉《高唐赋》：“盘岸巑岏（cuánwán），裖（zhěn）陈～～。”（巑岏：山峰峻峭。裖：重叠。陈：陈列。）//通“皑皑”。洁白的样子。枚乘《七发》：“白刃～～，矛戟交错。”//坚固的样子。张衡《思玄赋》：“行积冰之～～兮，清泉冱（hù）而不流。”（冱：凝固冻结。）
堨,,堨㈠,,ài,土,12,左右,三级字,尘埃。《淮南子·兵略》：“扬尘起～。”
隘,,隘㈠,,ài,阝左,12,左右,一级字,❶狭窄，狭小。《诗经·大雅·生民》：“诞寘之～巷，牛羊腓字之。”（腓：庇护。）《左传·昭公三年》：“子之宅近市，湫（jiǎo）～嚣尘，不可以居。”（湫：低下。嚣尘：嘈杂多尘。）//❷险要的地方。左思《蜀都赋》：“一人守～，万夫莫向。”（向：指接近。）
嗌,,嗌㈠,,ài,口,13,左右,二级字,喉咙梗塞。《庄子·庚桑楚》：“儿子终日嗥而～不嗄。”一本作“不嗌嗄”。
叆,,叆㈠,[靉],ài,一,14,左右,二级字,❶[叆叇（dài）]//云气或烟浓盛的样子。潘尼《逸民吟》：“朝云～～，行露未晞。”（行：路。晞：晒干。）//一种器物，类似眼镜（后起意义）。田艺蘅《留青日札摘抄》卷二：“提学副使潮阳林公有二物，如大钱形，质薄而透明，如硝子石，如琉璃，色如云母，每看文章，目力昏倦，不辨细书，以此掩目，精神不散，笔画倍明……人皆不识，举以问余。余曰：此～～也。”//❷[叆靅（fèi）]//云盛而昏暗的样子。木华《海赋》：“气似天霄，～～云布。”
暧,,暧,[曖],ài,日(曰),14,左右,二级字,❶昏暗。谢瞻《王抚军庾西阳集别》诗：“夕阴～平陆。”//可叠用。昏暗不明的样子。屈原《离骚》：“时～～其将罢（pí）兮。”（时间已晚，人也感到疲倦了。罢：通“疲”。）//❷遮蔽。谢灵运《会吟行》：“轻云～松杞。”//可叠用。隐隐约约的样子。陶潜《归园田居》诗：“～～远人村，依依墟里烟。”//❸温暖。王俭《褚渊碑文》：“～有余晖，遥然留想。”//可叠用。温暖的样子。王维《赠裴十迪》诗：“～～日暖闺，田家来致词。”
蔼,,蔼,[藹],ǎi,艹,14,上下,一级字,❶草木茂盛的样子。《汉书·扬雄传》：“郁萧条其幽～兮，滃（wěng）汎沛以丰隆。”（滃：云气涌起。）//〖引〗密集的样子。杜甫《雨》诗：“行云递崇高，飞雨～而至。”//[蔼蔼]//草木茂盛。束晳《补亡诗》六首之五：“瞻彼崇丘，其林～～。”//众多的样子。《诗经·大雅·卷阿》：“～～王多吉士，维君子使，媚于天子。”//光线暗淡的样子。司马相如《长门赋》：“望中庭之～～兮，若季秋之降霜。”//❷和气的样子。韩愈《答李翊书》：“仁义之人，其言～如也。”又如“蔼然可亲”。//❸通“霭”。云气。陆机《挽歌》三首之三：“悲风徽行轨，倾云结流～。”（徽：止。轨：指车。）
噫,,噫㈠,,ài,口,16,左右,二级字,出气。《庄子·齐物论》：“夫大块～气，其名为风。”刘禹锡《天论》：“嘘为雨露，～为雷风。”（嘘：吐气。）
霭,,霭,[靄],ǎi,雨(⻗),19,上下,二级字,云雾。李白《雨后望月》诗：“四郊阴～散，开户半蟾生。”柳永《雨霖铃·寒蝉凄切》：“暮～沉沉楚天阔。”//[霭霭]//云雾密集的样子。陶潜《停云》诗：“～～停云，濛濛时雨。”苏轼《题南溪竹上》诗：“山头～～暮云横。”//光线暗淡或柔和的样子。陆龟蒙《江城夜泊》诗：“月挂虚弓～～明。”韩愈《人日城南登高》诗：“～～野浮阳，晖晖水披冻。”
厄,,厄㈠,[阨 、阸],ài,厂,4,半包围,二级字,通“隘”。狭隘。《汉书·赵充国传》：“道～狭，充国徐行驱之。”（徐：慢慢。驱：驱赶。）
艾,,艾㈠,,ài,艹,5,上下,一级字,❶一种草本植物，叶制成艾绒，可供针灸用。《诗经·王风·采葛》：“彼采～兮，一日不见，如三岁兮。”贾思勰《齐民要术·收种》：“麦一石，～一把，藏以瓦器竹器。”//〖引〗灰白色。元稹《郡斋感怀见寄》诗：“～发衰容惜寸辉。”（寸辉：指短暂的时间。）//❷老，老年人。《汉书·武帝纪》：“然则于乡里先耆（qí）～，奉高年，古之道也。”（耆：年老。耆艾：指老年人。）//❸停止，完结。《左传·哀公二年》：“忧未～也。”成语有“方兴未艾”。//❹美好，美色。屈原《九歌·少司命》：“竦长剑兮拥幼～。”（幼艾：年轻美女。）《孟子·万章上》：“知好色则慕少～。”//❺养护，养育。《诗经·小雅·南山有台》：“保～尔后。”//❻[艾艾]//口吃的样子。《世说新语·言语》：“邓艾口吃，语称～～。”
毐,,毐,,ǎi,士,7,上下,三级字,❶品行不正的人。《说文·毋部》：“毐，士之无行者。”//❷人名。战国秦时有嫪（lào）毐。
哀,,哀,,āi,亠,9,上中下,一级字,❶悲痛，伤心。《庄子·大宗师》：“中心不戚，居丧不～。”屈原《离骚》：“～众芳之芜秽（huì）。”（芳：香草。芜秽：荒芜。）//〖特〗父母之丧。《宋书·张敷传》：“居～毁灭，孝道淳至。”//❷怜悯，同情。《韩非子·用人》：“忧悲不～怜。”//❸爱。《吕氏春秋·报更》：“人主胡可以不务～士？”《淮南子·说林》：“鸟飞反乡，兔走归窟，狐死首丘，寒将翔水，各～其所生。”（寒将：水鸟。）//【辨析】//哀，戚，悲，悼。四字都有悲伤的意思。但“戚”字一般是表示忧苦、悲哀；“哀”与“悲”有怜悯、同情的意思，“哀”的感情色彩要更重些；“悼”则是悲痛的意思，多用于对死者表示沉痛悼念。
僾,,僾,[㤅],ài,,,,,❶呼吸急促不顺畅。《诗经·大雅·桑柔》：“如彼遡风，亦孔之～。”（遡：向。孔：很。）//❷隐约，仿佛。《礼记·祭义》：“祭之日，入室，～然必有见乎其位。”
薆,,薆,,ài,,,,,❶遮蔽。屈原《离骚》：“何琼佩之偃蹇（yǎnjiǎn）兮，众～然而蔽之。”（偃蹇：高高的样子。）//[薆薆]//昏暗不明的样子。司马相如《大人赋》：“时若～～将混浊兮。”//❷草木茂盛。曹植《临观赋》：“南园～兮果载荣。”（荣：花。）//[薆薱（duì）]//草木茂盛的样子。张衡《西京赋》：“郁蓊～～。”（郁蓊：茂盛的样子。）//❸香气浓。江淹《齐太祖高皇帝诔》：“誉馥区中，道～岷外。”（区中：指世间。）
餲,,餲,,ài,,,,,食物经久而变味。《论语·乡党》：“食饐（yì）而～，鱼馁（něi）而肉败，不食。”（饐：腐臭。馁：腐烂。）
騃,,騃㈠,,ái,,,,,痴愚的样子。《汉书·息夫躬传》：“外有直项之名，内实～不晓政事。”（直项：刚直。）熟语有“痴儿騃子”。
案,,案,,àn,宀,10,上下,一级字,❶盛食物的矮脚木托盘。《史记·田叔列传》：“赵王张敖自持～进食，礼恭甚。”成语有“举案齐眉”。//❷几案，矮长桌。《三国志·吴书·周瑜传》裴松之注：“权拔刀斫（zhuó）前奏～。”（权：孙权。奏案：接受奏本的几案。）//❸文书，案卷。《新唐书·陆贽传》：“视～籍烦简。”（籍：指记录的本册。）//[案牍]//官府文书。刘禹锡《陋室铭》：“无丝竹之乱耳，无～～之劳形。”//❹用手压或摁。《史记·魏其武安侯列传》：“～灌夫项令谢。”（灌夫：人名。项：脖颈。谢：道歉。）//〖又〗握，持。《庄子·盗跖》：“～剑瞋（chēn）目，声如乳虎。”（瞋目：瞪眼。乳虎：刚生子的母虎。）//❺压抑，止住。《三国志·蜀书·诸葛亮传》：“何不～兵束甲?”（束甲：捆起铠甲，指停止战争。）//❻考察，核实。《论衡·问孔》：“～贤圣之言，上下多相违。”（相违：互相矛盾。）//[案问]//审问，审查。《史记·秦始皇本纪》：“于是使御史悉～～诸生。”（御史：官名。）//❼巡行，巡视。《三国志·蜀书·诸葛亮传》：“宣王～行其营垒处所，曰：‘天下奇才也。’”//❽按照，依照。《韩非子·孤愤》：“～法而治官。”（按照法令来做官。）//❾于是，就。《荀子·王制》：“财物积，国家～自富矣。”//上述❹—❾又写作“按”。
