页序,词条,繁体异体,拼音,字级,笔画数,释义
001/L-01,吖,,ā,三级,6,［吖嗪］（–qín）有机化合物的一类，呈环状结构，含有一个或几个氮原子，如吡啶、嘧啶等。
001/L-02,阿,,ā,一级,7,〈方〉前缀。❶用在排行、小名或姓前：～大|～根|～王。//❷用在某些亲属称谓前：～妹|～公。//［阿姨］1.称跟母亲年纪差不多的、没有亲属关系的女性。2.对保育员或保姆等的称呼。3.〈方〉姨母。//［阿昌族］我国少数民族，参看附表。//另见116页ē。
001/L-03,呵,,ā,一级,8,同“啊”。//另见1页á；1页ǎ；1页à；2页a；118页hē。
001/L-04,啊,,ā,一级,10,叹词，表示赞叹或惊异：～，这花多好哇！|～，下雪了！另见1页á；1页ǎ；1页à；2页a。
001/L-05,锕,（錒）,ā,二级,12,放射性金属元素，符号Ac，原子序数89。
001/R-01,腌,,ā,二级,12,［腌臜］（–za）〈方〉不干净。//另见557页yān。
001/R-02,呵,,á,一级,8,同“啊”。//另见1页á；1页ǎ；1页à；2页a；118页hē。
001/R-03,啊,,á,一级,10,叹词，表示追问：～，你说什么？|～，你再说！另见ā；ǎ；à；a。
001/R-04,嗄,,á,二级,13,同“啊”。
001/R-05,呵,,ǎ,一级,8,同“啊”。//另见ā；á；à；a；hē。
001/R-06,啊,,ǎ,一级,10,叹词，表示疑惑：～，这是怎么回事？//另见ā；á；à；a。
001/R-07,呵,,à,一级,8,同“啊”。//另见ā；á；ǎ；a；hē。
001/R-08,啊,,à,一级,10,叹词。//1.表示应诺或醒悟（音较短）：～，好吧|～，原来是你呀！//2.表示惊异或赞叹（音较长）：～，伟大的祖国！//另见ā；á；ǎ；a。
002/L-01,呵,,a,一级,8,同“啊”。//另见ā；á；ǎ；à；hē。
002/L-02,啊,,a,一级,10,助词。//1.用在句末，表示赞叹、催促、嘱咐等语气（常因前面字音不同而发生变音，可用不同的字来表示）：快些来～（呀）！|您好～（哇）！|同志们加油干～（哪）！//2.用在列举的事项之后：纸～，笔～，摆满了一桌子。
002/L-03,哎,,āi,一级,8,叹词，表示不满或提醒：～，你怎么能这么说呢！|～，你们看，谁来了！//［哎呀］叹词，表示惊讶等。//［哎哟］（–yō）叹词，表示惊讶、痛苦、惋惜等。
002/L-04,哀,,āi,一级,9,❶悲痛（〖连〗悲–）：喜怒～乐。//❷悼念：默～。//❸怜悯，同情：～怜|～其不幸。
002/L-05,锿,（鎄）,āi,三级,14,人造的放射性金属元素，符号Es，原子序数99。
002/L-06,埃,,āi,一级,10,灰尘（〖连〗尘–）。
002/R-01,挨,,āi,一级,10,❶舞动，摇摆：～刀|～手|大笔一～。//［指挥］1.指导，调度。2.指导、调度的人：工程总～|乐队～。//❷散（sàn）出，甩出：～金如土|～汗如雨|～发。//［挥霍］（–huò）用钱浪费，随便花钱。
002/R-02,唉,,āi,一级,10,叹词。//1.表示答应：～，听见了。//2.表示叹息：～，一天的工夫又白费了。3.表示招呼：～，你来一下。//另见ài。
002/R-03,嗳,,āi,二级,13,同“哎”。//另见ǎi；ài。
002/R-04,挨,（**捱）,ái,一级,10,❶遭受，亲身受到：～饿|～打|～骂。//❷困难地度过（岁月）：～日子。//❸拖延：他～到晚饭后才开始写作业。//另见āi。
002/R-05,𫘤,（騃）,ái,,10,傻：痴～。
002/R-06,皑,（皚）,ái,二级,11,白（叠）：～～白雪。
002/R-07,癌,,ái,一级,17,生物体细胞变成恶性增生细胞所形成的肿瘤：胃～|肝～|肺～|乳腺～。
002/R-08,毐,,ǎi,三级,7,用于人名。嫪毐（lào–），战国时秦国人。
002/R-09,欸,,ǎi,二级,11,［欸乃］拟声词，形容摇橹声：～一声山水绿。//另见ê̄；ế；ê̌；ề。
003/L-01,嗳,（噯）,ǎi,二级,13,叹词，表示否定或不同意：～，别那么说|～，不是这样放。//另见āi；ài。
003/L-02,矮,,ǎi,一级,13,身材短：他比他哥哥～。引1.高度小的：几棵小～树。2.等级、地位低：我比他～一级。
003/L-03,蔼,（藹）,ǎi,一级,14,气，和善：和～|～然可亲。
003/L-04,霭,（靄）,ǎi,二级,19,云气：云～|暮～。
003/L-05,艾,,ài,一级,5,❶草本植物，又叫艾蒿，叶有香味，可制成艾绒，用于灸法治病。//❷止，绝：方兴未～。//❸漂亮，美：少～（年轻漂亮的人，多指女子）。//❹姓。//另见yì。
003/L-06,砹,,ài,二级,10,放射性非金属元素，符号At，原子序数85。
003/L-07,唉,,ài,一级,10,叹词，表示伤感或惋惜：～，病了两个月，把工作都耽搁了。//另见āi。
003/L-08,爱,（愛）,ài,一级,10,❶喜爱，对人或事物有深挚的感情：拥军～民|～祖国|～人民|友～。//❷喜好：～游泳|～干净|～劳动。//❸爱惜，爱护：～集体荣誉。//❹容易（出现某种变化），常常（发生某种行为）：铁～生锈|小王～迟到。
003/R-01,嗳,（噯）,ài,二级,13,叹词，表示否定或不同意：～，别那么说|～，不是这样放。//另见āi；ài。
003/R-02,嫒,（嬡）,ài,二级,13,［令嫒］对对方女儿的敬称。现多作“令爱”。
003/R-03,瑷,（璦）,ài,三级,14,［瑷珲］（–huī）地名，在黑龙江省黑河市。
003/R-04,叆,（靉）,ài,二级,14,［叆叇］（–dài）云彩很厚的样子：乌云～。
003/R-05,暧,（曖）,ài,二级,14,日光昏暗（叠）。//［暧昧］1.态度不明朗。2.行为不光明正大。
003/R-06,𮩝,（餲）,ài,,12,食物经久而变味。
003/R-07,隘,,ài,一级,12,❶险要的地方：要～。//❷狭窄，狭小（〖连〗狭–）：路～林深。
003/R-08,嗌,,ài,二级,13,噎，食物塞住嗓子。//另见yì。
003/R-09,碍,,ài,一级,13,妨害，阻挡：～口（不便说）|～事不～事？|～手～脚。
003/R-10,厂,,ān,一级,2,同“庵”。多用于人名。//另见chǎng。
004/L-01,广,,ān,一级,3,同“庵”。多用于人名。//另见guǎng。
004/L-02,安,,ān,一级,6,❶平静，稳定：～定|～心（心情安定）|～居乐业。//❷使平静，使安定（多指心情）：～神|～民告示。//❸安全，平安，跟“危”相对：～康|治～|转危为～。//❹安置，装设（〖连〗–装）：～排|～营扎寨|～电灯。//❺存着，怀着（多指不好的念头）：你～的什么心？//❻文言代词，哪里：而今～在？|～能如此？//❼〖外〗电流单位名安培的简称，符号A。
004/L-03,垵,,ān,三级,9,用于地名：曾厝～（在福建省厦门）。//另见ǎn。
004/L-04,桉,,ān,二级,10,桉树，常绿乔木，树干高而直，木质坚韧，供建筑用，树皮和叶可入药，枝叶可提制桉油。
004/L-05,氨,,ān,一级,10,无机化合物，气体，无色而有恶臭。可用来制硝酸、肥料和炸药。
